shape,condition,leg,transport,trials,round_trips,bytes_moved,p50_ms,p95_ms,mean_ms,per_trip_p50_ms
prefill-burst,clean,NMP,"UDP + Noise IK + AES-256-GCM (production stack, loopback: link-adaptive 9180 B chunks; FEC parity + AWDL shaping engage on radio paths only)",20,1,262144,1.819,2.095,1.870,0.993
prefill-burst,clean,TCP,"kernel TCP stream, no TLS, no framing (loopback)",20,1,262144,0.531,0.631,0.541,0.262
prefill-burst,clean,TCP+TLS 1.3,"kernel TCP + TLS 1.3, ephemeral self-signed P-256 identity, certificate pinned (loopback)",20,1,262144,17.724,20.765,17.994,0.447
prefill-burst,clean,QUIC,"Network.framework QUIC (TLS 1.3 built in, ALPN nmp-race), same pinned identity (loopback)",20,1,262144,8.754,11.610,10.326,1.099
decode-32,clean,NMP,"UDP + Noise IK + AES-256-GCM (production stack, loopback: link-adaptive 9180 B chunks; FEC parity + AWDL shaping engage on radio paths only)",20,32,229376,4.651,5.201,4.717,0.120
decode-32,clean,TCP,"kernel TCP stream, no TLS, no framing (loopback)",20,32,229376,2.806,3.440,2.912,0.079
decode-32,clean,TCP+TLS 1.3,"kernel TCP + TLS 1.3, ephemeral self-signed P-256 identity, certificate pinned (loopback)",20,32,229376,19.565,20.653,19.200,0.099
decode-32,clean,QUIC,"Network.framework QUIC (TLS 1.3 built in, ALPN nmp-race), same pinned identity (loopback)",20,32,229376,11.312,13.035,11.484,0.114
decode-128,clean,NMP,"UDP + Noise IK + AES-256-GCM (production stack, loopback: link-adaptive 9180 B chunks; FEC parity + AWDL shaping engage on radio paths only)",20,128,917504,14.341,16.959,14.142,0.106
decode-128,clean,TCP,"kernel TCP stream, no TLS, no framing (loopback)",20,128,917504,6.683,7.942,6.874,0.051
decode-128,clean,TCP+TLS 1.3,"kernel TCP + TLS 1.3, ephemeral self-signed P-256 identity, certificate pinned (loopback)",20,128,917504,28.750,30.506,28.911,0.098
decode-128,clean,QUIC,"Network.framework QUIC (TLS 1.3 built in, ALPN nmp-race), same pinned identity (loopback)",20,128,917504,19.858,21.908,19.863,0.090
